,id,asset,amount,locked,exchange
136,450,SKL,18.40920000,0.00000000,BINANCE
137,454,GHST,1.44784000,0.00000000,BINANCE
138,459,DF,22.88640000,0.00000000,BINANCE
139,462,BVND,0.00,0.00,BINANCE
140,464,CELO,1.74516000,0.00000000,BINANCE
141,475,CKB,572856.92700000,0.00000000,BINANCE
142,481,FXS,0.32658000,0.00000000,BINANCE
143,490,QI,431.78340000,0.00000000,BINANCE
144,493,ALICE,0.65895800,0.00000000,BINANCE
145,499,SUPER,0.48255600,0.00000000,BINANCE
146,512,AR,0.32230600,0.00000000,BINANCE
147,513,ICP,0.00038400,0.00000000,BINANCE
148,514,SHIB,112534.59,0.00,BINANCE
149,515,POLS,0.80370000,0.00000000,BINANCE
150,521,GTC,0.13518000,0.00000000,BINANCE
151,525,ERN,227.95950000,0.00000000,BINANCE
152,531,RAY,0.18064000,0.00000000,BINANCE
153,532,MINA,1.36100000,0.00000000,BINANCE
154,535,XEC,0.00,0.00,BINANCE
155,538,VGX,790.19900000,0.00000000,BINANCE
156,544,DYDX,0.20938000,0.00000000,BINANCE
157,545,GALA,0.55080000,0.00000000,BINANCE
158,546,ILV,0.00291800,0.00000000,BINANCE
159,547,YGG,2.20718000,0.00000000,BINANCE
160,550,BETA,1.07960000,0.00000000,BINANCE
161,551,RAD,0.15162000,0.00000000,BINANCE
162,552,RARE,0.59522000,0.00000000,BINANCE
163,568,PYR,135.09077400,0.00000000,BINANCE
164,587,IMX,5.50501000,0.00000000,BINANCE
165,589,BTTC,0.0,0.0,BINANCE
166,609,LUNC,529.29123400,0.00000000,BINANCE
167,614,ETHW,0.00001896,0.00000000,BINANCE
168,615,PYR,409.88231059,0,KUCOIN
169,616,UOS,1817.19292184,0,KUCOIN
170,617,AURY,379.81196073,0,KUCOIN
171,618,WILD,1389.50847615,0,KUCOIN
172,619,RMRK,94.1566567,0,KUCOIN
173,620,NTVRK,930.22503195,0,KUCOIN
174,621,SFUND,106.50865636,0,KUCOIN
175,622,CGG,1688.86171481,0,KUCOIN
176,623,VRA,17911.44216811,0,KUCOIN
177,624,ONT,0.8,0,KUCOIN
178,625,KCS,0.00040762,0,KUCOIN
179,626,USTC,0.00040678,0,KUCOIN
180,627,ORN,0.00008251,0,KUCOIN
181,628,DFI,0.00006464,0,KUCOIN
182,629,ANC,0.000059,0,KUCOIN
183,630,ONE,0.00005475,0,KUCOIN
184,631,UNO,0.00003853,0,KUCOIN
185,632,EFX,0.00001014,0,KUCOIN
186,633,YGG,0.0000099,0,KUCOIN
187,634,ALICE,0.00000756,0,KUCOIN
188,635,ADA,0,0,KUCOIN
189,636,ALGO,0,0,KUCOIN
190,637,AMPL,0,0,KUCOIN
191,638,BNB,0,0,KUCOIN
192,639,BTC,0,0,KUCOIN
193,640,CHSB,0,0,KUCOIN
194,641,DIA,0,0,KUCOIN
195,642,DOT,0,0,KUCOIN
196,643,EOS,0,0,KUCOIN
197,644,ETH,0,0,KUCOIN
198,645,GAS,0,0,KUCOIN
199,646,KNC,0,0,KUCOIN
200,647,LUNC,0,0,KUCOIN
201,648,MTS,0,0,KUCOIN
202,649,OMG,0,0,KUCOIN
203,650,SNX,0,0,KUCOIN
204,651,USDT,0,0,KUCOIN
205,652,UTK,0,0,KUCOIN
206,653,ARES,8440.21,0,MEXC
207,654,CTXC,0.00319,0,MEXC
208,655,PCX,984.12,0,MEXC
209,656,ALPACA,810.18,0,MEXC
210,657,USDT,4683.8888211882614,0,MEXC
211,658,RAZOR,1583.87,0,MEXC
212,659,SPI,8.128,0,MEXC
213,660,ETHF,0.01785,0,MEXC
214,661,JEWEL,341.56,0,MEXC
215,662,ILV,22.42,0,MEXC
216,663,NRV,304.5,0,MEXC
217,664,FINA,419.66,0,MEXC
218,665,ALICE,166.42,0,MEXC
219,666,BOND,0.00055,0,MEXC
220,667,OPIUM,142.28,0,MEXC
221,668,ETHW,0.01786,0,MEXC
222,669,UFO,85035356.01,0,MEXC
223,670,WILD,226.9,0,MEXC
224,671,LEVER,0.00885,0,MEXC
225,672,DOT,0.0000000084,0,MEXC
226,673,UMA,0.009612,0,MEXC
227,674,LQTY,47.18,0,MEXC
228,675,SFUND,31.52,0,MEXC
229,676,BTC,0.00000071046,0,MEXC
230,677,CHAIN,1952.17,0,MEXC
231,678,CW,5514.3,0,MEXC
232,679,ETH,0.01785441704,0,MEXC
233,680,PAINT,1054180.88,0,MEXC
234,681,POOL,95.45,0,MEXC
235,682,NEST,78899.68,0,MEXC
